year,person,cumrank,player,school,seed,seasonppg,round1,round2,round3,round4,round5,round6,totalpoints,gamesplayed,tourneyppg,draftround,overallpick,draftposition,region,conference,initial,spacer,longitude,latitude
2024,Andrew L,,Jeremy Roach,Duke,4,14,14,15,14,13,,,56,4,14,5,36,4,,,925,Duke,-78.940002,36
2024,Andrew L,,Aaron Estrada,Alabama,4,13.5,13,8,19,10,13,,63,5,12.6,6,45,4,,,926,Alabama,-87.539696,33.202972
2024,Andrew L,,Walter Clayton Jr,Florida,7,17.299999,33,,,,,,33,1,33,7,52,4,,,927,Florida,-82.349998,29.65
2024,Andrew L,,DaRon Holmes II,Dayton,7,20.4,18,23,,,,,41,2,20.5,8,61,4,,,928,Dayton,-84.199997,39.735649
2024,Bryan,,L.J. Cryer,Houston,1,15.3,17,20,15,,,,52,3,17.299999,1,5,5,,,929,Houston,-95.346931,29.724676
2024,Bryan,,Jamal Shead,Houston,1,13.1,11,21,2,,,,34,3,11.3,2,12,5,,,930,Houston,-95.346931,29.724676
2024,Bryan,,Keshon Gilbert,Iowa St.,2,13.8,15,10,14,,,,39,3,13,3,21,5,,,931,Iowa St.,-93.639999,42.02
2024,Bryan,,Lance Jones,Purdue,1,12.2,6,9,12,7,14,5,53,6,8.8000002,4,28,5,,,932,Purdue,-86.919998,40.43
2024,Bryan,,Fletcher Loyer,Purdue,1,10.4,8,15,10,14,11,0,58,6,9.6999998,5,37,5,,,933,Purdue,-86.919998,40.43
2024,Bryan,,RayJ Dennis,Baylor,3,13.3,10,27,,,,,37,2,18.5,6,44,5,,,934,Baylor,-97.110001,31.549999
2024,Bryan,,Jaylin Williams,Auburn,4,12.6,13,,,,,,13,1,13,7,53,5,,,935,Auburn,-85.492508,32.602722
2024,Bryan,,Aidan Mahaney,Saint Mary's,5,13.9,13,,,,,,13,1,13,8,60,5,,,936,Saint Mary's,-122.11,37.84
2024,James,,Dalton Knecht,Tennessee,2,21.1,23,18,26,37,,,104,4,26,1,6,6,,,937,Tennessee,-83.925056,35.951138
2024,James,,Mark Sears,Alabama,4,21.1,30,26,18,23,24,,121,5,24.200001,2,11,6,,,938,Alabama,-87.539696,33.202972
2024,James,,Rob Dillingham,Kentucky,3,15.4,10,,,,,,10,1,10,3,22,6,,,939,Kentucky,-84.5,38.049999
2024,James,,Tyler Kolek,Marquette,2,15,18,21,17,,,,56,3,18.700001,4,27,6,,,940,Marquette,-87.919998,43.040001
2024,James,,Oso Ighodaro,Marquette,2,14,4,10,6,,,,20,3,6.6999998,5,38,6,,,941,Marquette,-87.919998,43.040001
2024,James,,Stephon Castle,Connecticut,1,10.8,14,7,16,2,21,15,75,6,12.5,6,43,6,,,942,Connecticut,-72.676193,41.768265
2024,James,,Anton Watson,Gonzaga,5,14.4,13,21,14,,,,48,3,16,7,54,6,,,943,Gonzaga,-117.4,47.669998
2024,James,,Ryan Nembhard,Gonzaga,5,12.9,8,5,14,,,,27,3,9,8,59,6,,,944,Gonzaga,-117.4,47.669998
2024,Rob,,Armando Bacot,North Carolina,1,14.1,20,18,19,,,,57,3,19,1,7,7,,,945,North Carolina,-79.040001,35.900002
2024,Rob,,Antonio Reeves,Kentucky,3,20,27,,,,,,27,1,27,2,10,7,,,946,Kentucky,-84.5,38.049999
2024,Rob,,Ryan Kalkbrenner,Creighton,3,17.1,23,19,14,,,,56,3,18.700001,3,23,7,,,947,Creighton,-95.93,41.259998
2024,Rob,,Cormac Ryan,North Carolina,1,11.2,13,14,17,,,,44,3,14.7,4,26,7,,,948,North Carolina,-79.040001,35.900002
2024,Rob,,Tamin Lipsey,Iowa St.,2,12.3,17,15,8,,,,40,3,13.3,5,39,7,,,949,Iowa St.,-93.639999,42.02
2024,Rob,,Jonas Aidoo,Tennessee,2,11.9,15,11,4,0,,,30,4,7.5,6,42,7,,,950,Tennessee,-83.925056,35.951138
2024,Rob,,PJ Hall,Clemson,6,18.799999,14,11,17,14,,,56,4,14,7,55,7,,,951,Clemson,-82.846413,34.680397
2024,Rob,,KJ Adams,Kansas,4,12.4,20,10,,,,,30,2,15,8,58,7,,,952,Kansas,-95.25,38.950001
2024,Andrew F,,Caleb Love,Arizona,2,18.1,18,19,13,,,,50,3,16.700001,1,8,8,,,953,Arizona,-110.95,32.23
2024,Andrew F,,Baylor Scheierman,Creighton,3,18.4,15,18,25,,,,58,3,19.299999,2,9,8,,,954,Creighton,-95.93,41.259998
2024,Andrew F,,Oumar Ballo,Arizona,2,13.1,11,8,15,,,,34,3,11.3,3,24,8,,,955,Arizona,-110.95,32.23
2024,Andrew F,,Ja'Kobe Walter,Baylor,3,14.2,19,20,,,,,39,2,19.5,4,25,8,,,956,Baylor,-97.110001,31.549999
2024,Andrew F,,Graham Ike,Gonzaga,5,16.5,16,15,18,,,,49,3,16.299999,5,40,8,,,957,Gonzaga,-117.4,47.669998
2024,Andrew F,,Jared McCain,Duke,4,13.4,15,30,7,32,,,84,4,21,6,41,8,,,958,Duke,-78.940002,36
2024,Andrew F,,Tyson Walker,Michigan St.,9,18.200001,19,24,,,,,43,2,21.5,7,56,8,,,959,Michigan St.,-84.489998,42.73
2024,Andrew F,,J'Wan Roberts,Houston,1,9.3999996,7,13,13,,,,33,3,11,8,57,8,,,960,Houston,-95.346931,29.724676
